Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
49073571,2913989,2000,14805193,42519,1431,61972,5.6,90000000,106000000,2
0,393946907,2011,7974049,13730,1415,171495,6.9,90000000,487519809,1
43834938,0,1999,65011,54,2,91753,6.8,100000000,87420776,2
88956281,0,1997,416392,301,75,60458,5.4,90000000,120100000,3
40619530,13336966,2002,668246,571,32,50839,6.7,100000000,35100183,3
43478283,0,2015,37100822,132740,37153,274185,5.7,120000000,167117548,3
62940472,61310755,1982,10585457,3141,1956,116809,6.9,20000000,63356133,4
101365680,0,2005,178592,108,3,152893,8,88000000,105021488,3
49571780,101324047,2003,637301,422,17,58973,7.3,87000000,148715342,3
0,28870219,1996,603279,1063,86,148566,6.3,92000000,495700000,3
54654188,108476005,2001,30838433,248559,12476,282637,6.7,38000000,206512310,3
57619771,4632220,2000,182401,339,17,413705,7.7,90000000,427230516,3
0,44202228,2006,337862,312,40,138162,6.5,100000000,385000317,2
136623867,0,2004,1565147,1412,68,367138,7.8,75000000,288587450,3
184932277,152878928,1997,186405,164,13,151263,6.4,85000000,315268353,4
104329638,0,2001,1032296,1041,65,420115,7.8,85000000,183349128,3
34953170,0,2011,4566686,6662,841,91425,5.8,75000000,139877913,3
68354637,13158901,2012,16129260,44220,1983,173296,7.1,85000000,378505812,2
0,101566392,2007,4631075,8361,994,148005,7.1,85000000,340384141,2
106585059,161180668,2012,7390080,9885,426,172690,6.8,85000000,208542162,4
0,117777459,2011,5121848,6009,293,113841,6.2,75000000,153487972,3
218238397,86959802,1998,98810,110,6,194180,7.3,90000000,250649836,4
0,39767901,2009,1543535,1701,90,72381,6.6,85000000,112703470,4
104329638,85343206,2007,211108,177,10,266588,6.9,85000000,78864724,3
65098309,45187447,2006,779205,450,96,68557,6.2,85000000,191932158,2
0,51940986,2014,43422640,150085,5903,356759,6.7,85000000,276014965,3
56830970,0,2001,3077070,4510,275,198478,7.6,68000000,96971293,4
71395927,151234685,2003,212570,212,14,85095,6.7,85000000,80831893,3
62940472,12131586,1993,174676,469,27,110856,6.2,70000000,137298489,3
0,7510,2005,52923,140,3,122353,7.3,85000000,161510853,3
39317834,157794205,2006,3911465,4443,318,188723,6,85000000,157794205,3
19626708,58454077,2011,4279667,4154,306,38315,7.1,100000000,149717124,2
85343206,80045696,1998,2771976,5542,183,174997,7.1,90000000,44650003,3
62940472,0,2002,3777412,20292,895,63234,5.5,85000000,78353508,4
